Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699359090.114,49.173,1800.0,40.0,8.4
1699359090.125,49.173,1800.0,25.0,8.4
1699359090.136,48.686,1800.0,20.0,8.4
1699359090.147,48.686,1800.0,25.0,8.4
1699359090.158,48.686,1800.0,25.0,8.4
1699359090.169,48.686,1800.0,40.0,8.4
1699359090.18,48.199,1800.0,20.0,8.4
1699359090.19,48.199,1800.0,25.0,8.4
1699359090.201,48.686,1800.0,25.0,8.4
1699359090.213,48.686,1800.0,25.0,8.4
1699359090.224,48.686,1800.0,20.0,8.4
1699359090.235,48.686,1800.0,25.0,8.4
1699359090.246,48.199,1800.0,25.0,8.4
1699359090.257,48.199,1800.0,20.0,8.4
1699359090.268,48.686,1800.0,40.0,8.4
1699359090.279,48.686,1800.0,0.0,8.4
1699359090.291,48.199,1800.0,33.3,8.4
1699359090.302,48.686,1800.0,25.0,8.4
1699359090.313,48.686,1800.0,40.0,8.4
1699359090.324,48.686,1800.0,25.0,8.4
1699359090.335,49.173,1800.0,20.0,8.4
1699359090.346,48.199,1800.0,25.0,8.4
1699359090.357,48.199,1800.0,40.0,8.4
1699359090.368,49.66,1800.0,0.0,8.4
1699359090.379,49.66,1800.0,33.3,8.4
1699359090.391,48.199,1800.0,0.0,8.4
1699359090.402,48.199,1800.0,40.0,8.4
1699359090.413,49.173,1800.0,33.3,8.4
1699359090.424,49.173,1800.0,25.0,8.4
1699359090.435,48.686,1800.0,0.0,8.4
1699359090.447,48.686,1800.0,33.3,8.4
1699359090.458,48.199,1800.0,25.0,8.4
1699359090.469,48.199,1800.0,25.0,8.4
1699359090.48,48.199,1800.0,25.0,8.4
1699359090.491,48.199,1800.0,20.0,8.4
1699359090.503,48.686,1800.0,25.0,8.4
1699359090.514,48.686,1800.0,25.0,8.4
1699359090.525,48.199,1800.0,33.3,8.4
1699359090.536,48.199,1800.0,0.0,8.4
1699359090.548,49.173,1800.0,40.0,8.4
