Temps,Luminosite
1697148629,4095
1697148630,4095
1697148630,4095
1697148631,4095
1697148631,4095
1697148632,4095
1697148632,4095
1697148633,4095
1697148633,4095
1697148634,4095
1697148634,4095
1697148635,4095
1697148635,4095
1697148636,4095
1697148636,4095
1697148637,4095
1697148637,4095
1697148638,4095
1697148638,4095
1697148639,4095
1697148639,4095
1697148640,4095
1697148640,4095
1697148641,4095
1697148641,4095
1697148642,4095
1697148642,4095
1697148643,4095
1697148643,4095
1697148644,4095
1697148644,4095
1697148645,4095
1697148645,4095
1697148646,4095
1697148646,4095
1697148647,4095
1697148647,4095
1697148648,4095
1697148648,4095
1697148649,4095
1697148649,4095
1697148650,4095
1697148650,4095
1697148651,4095
1697148651,4095
1697148652,4095
1697148652,4095
1697148653,4095
1697148653,4095
1697148654,4095
1697148654,4095
1697148655,4095
1697148655,4095
1697148656,4095
1697148656,4095
1697148657,4095
1697148657,4095
1697148658,4095
1697148658,4095
1697148659,4095
1697148659,4095
1697148660,4095
1697148660,4095
1697148661,4095
1697148661,4095
1697148662,4095
1697148662,4095
1697148663,4095
1697148663,4095
1697148664,4095
1697148664,4095
1697148665,4095
1697148665,4095
1697148666,4095
1697148666,4095
1697148667,4095
1697148667,4095
1697148668,4095
1697148668,4095
1697148669,4095
1697148669,4095
1697148670,4095
1697148670,4095
1697148671,4095
1697148671,4095
1697148672,4095
1697148672,4095
1697148673,4095
1697148673,4095
1697148674,4095
1697148674,4095
1697148675,4095
1697148675,4095
1697148676,4095
1697148676,4095
1697148677,4095
1697148677,4095
1697148678,4095
1697148678,4095
1697148679,4095
1697148679,4095
1697148680,4095
1697148680,4095
1697148681,4095
1697148681,4095
1697148682,4095
1697148682,4095
1697148683,4095
1697148683,4095
1697148684,4095
1697148684,4095
1697148685,4095
1697148685,4095
1697148686,4095
1697148686,4095
1697148687,4095
1697148687,4095
1697148688,4095
1697148688,4095
1697148689,4095
1697148689,4095
1697148690,4095
1697148691,4095
1697148691,4095
1697148691,4095
1697148692,4095
1697148692,4095
1697148693,4095
1697148693,4095
1697148694,4095
1697148694,4095
1697148695,4095
1697148695,4095
1697148696,4095
1697148696,4095
1697148697,4095
1697148697,4095
1697148698,4095
1697148698,4095
1697148699,4095
1697148699,4095
1697148700,4095
1697148700,4095
1697148701,4095
1697148701,4095
1697148702,4095
1697148702,4095
1697148703,4095
1697148703,4095
1697148704,4095
1697148704,4095
1697148705,4095
1697148705,4095
1697148706,4095
1697148706,4095
1697148707,4095
1697148707,4095
1697148708,4095
1697148708,4095
1697148709,4095
1697148709,4095
1697148710,4095
1697148710,4095
1697148711,4095
1697148711,4095
1697148712,4095
1697148712,4095
1697148713,4095
1697148713,4095
1697148714,4095
1697148714,4095
1697148715,4095
1697148715,4095
1697148716,4095
1697148716,4095
1697148717,4095
1697148717,4095
1697148718,4095
1697148718,4095
1697148719,4095
1697148719,4095
1697148720,4095
1697148720,4095
1697148721,4095
1697148721,4095
1697148722,4095
1697148722,4095
1697148723,4095
1697148723,4095
1697148724,4095
1697148724,4095
1697148725,4095
1697148725,4095
1697148726,4095
1697148726,4095
1697148727,4095
1697148727,4095
1697148728,4095
1697148728,4095
1697148729,4095
1697148729,4095
1697148730,4095
1697148730,4095
1697148731,4095
1697148731,4095
1697148732,4095
1697148732,4095
1697148733,4095
1697148733,4095
1697148734,4095
1697148734,4095
1697148735,4095
1697148735,4095
1697148736,4095
1697148736,4095
1697148737,4095
1697148737,4095
1697148738,4095
1697148738,4095
1697148739,4095
1697148739,4095
1697148740,4095
1697148740,4095
1697148741,4095
1697148741,4095
1697148742,4095
1697148742,4095
1697148743,4095
1697148743,4095
1697148744,4095
1697148744,4095
1697148745,4095
1697148745,4095
1697148746,4095
1697148746,4095
1697148747,4095
1697148747,4095
1697148748,4095
1697148748,4095
1697148749,4095
1697148749,4095
1697148750,4095
1697148750,4095
1697148751,4095
1697148751,4095
1697148752,4095
1697148752,4095
1697148753,4095
1697148753,4095
1697148754,4095
1697148754,4095
1697148755,4095
1697148755,4095
1697148756,4095
1697148756,4095
1697148757,4095
1697148757,4095
1697148758,4095
1697148758,4095
1697148759,4095
1697148759,4095
1697148760,4095
1697148760,4095
1697148761,4095
1697148761,4095
1697148762,4095
1697148762,4095
1697148763,4095
1697148763,4095
1697148764,4095
1697148764,4095
1697148765,4095
